"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2017 01:15:00 - 02/01/2017 01:30:00","BZN|AT","Sequence 2","24.47","",""
"02/01/2017 01:30:00 - 02/01/2017 01:45:00","BZN|AT","Sequence 2","21.3","",""
"02/01/2017 01:45:00 - 02/01/2017 02:00:00","BZN|AT","Sequence 2","13.7","",""
"02/01/2017 02:00:00 - 02/01/2017 02:15:00","BZN|AT","Sequence 2","26.35","",""
"02/01/2017 02:15:00 - 02/01/2017 02:30:00","BZN|AT","Sequence 2","25.92","",""
"02/01/2017 02:30:00 - 02/01/2017 02:45:00","BZN|AT","Sequence 2","20.3","",""
"02/01/2017 02:45:00 - 02/01/2017 03:00:00","BZN|AT","Sequence 2","19.63","",""
"02/01/2017 03:00:00 - 02/01/2017 03:15:00","BZN|AT","Sequence 2","20.78","",""
"02/01/2017 03:15:00 - 02/01/2017 03:30:00","BZN|AT","Sequence 2","20.19","",""
"02/01/2017 03:30:00 - 02/01/2017 03:45:00","BZN|AT","Sequence 2","22.6","",""
"02/01/2017 03:45:00 - 02/01/2017 04:00:00","BZN|AT","Sequence 2","24.7","",""
"02/01/2017 04:00:00 - 02/01/2017 04:15:00","BZN|AT","Sequence 2","13.8","",""
"02/01/2017 04:15:00 - 02/01/2017 04:30:00","BZN|AT","Sequence 2","17.98","",""
"02/01/2017 04:30:00 - 02/01/2017 04:45:00","BZN|AT","Sequence 2","30.5","",""
"02/01/2017 04:45:00 - 02/01/2017 05:00:00","BZN|AT","Sequence 2","33.92","",""
"02/01/2017 05:00:00 - 02/01/2017 05:15:00","BZN|AT","Sequence 2","1.69","",""
"02/01/2017 05:15:00 - 02/01/2017 05:30:00","BZN|AT","Sequence 2","14.5","",""
"02/01/2017 05:30:00 - 02/01/2017 05:45:00","BZN|AT","Sequence 2","35.41","",""
"02/01/2017 05:45:00 - 02/01/2017 06:00:00","BZN|AT","Sequence 2","56.0","",""
"02/01/2017 06:00:00 - 02/01/2017 06:15:00","BZN|AT","Sequence 2","-6.0","",""
"02/01/2017 06:15:00 - 02/01/2017 06:30:00","BZN|AT","Sequence 2","23.0","",""
"02/01/2017 06:30:00 - 02/01/2017 06:45:00","BZN|AT","Sequence 2","52.08","",""
"02/01/2017 06:45:00 - 02/01/2017 07:00:00","BZN|AT","Sequence 2","64.22","",""
"02/01/2017 07:00:00 - 02/01/2017 07:15:00","BZN|AT","Sequence 2","20.15","",""
"02/01/2017 07:15:00 - 02/01/2017 07:30:00","BZN|AT","Sequence 2","40.0","",""
"02/01/2017 07:30:00 - 02/01/2017 07:45:00","BZN|AT","Sequence 2","56.0","",""
"02/01/2017 07:45:00 - 02/01/2017 08:00:00","BZN|AT","Sequence 2","65.5","",""
"02/01/2017 08:00:00 - 02/01/2017 08:15:00","BZN|AT","Sequence 2","38.12","",""
"02/01/2017 08:15:00 - 02/01/2017 08:30:00","BZN|AT","Sequence 2","40.6","",""
"02/01/2017 08:30:00 - 02/01/2017 08:45:00","BZN|AT","Sequence 2","44.0","",""
"02/01/2017 08:45:00 - 02/01/2017 09:00:00","BZN|AT","Sequence 2","45.6","",""
