"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|IT-North","Without sequence","100.5","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|IT-North","Without sequence","100.25","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|IT-North","Without sequence","103.0","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|IT-North","Without sequence","103.0","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|IT-North","Without sequence","111.65","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|IT-North","Without sequence","114.9","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|IT-North","Without sequence","116.97","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|IT-North","Without sequence","111.69","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|IT-North","Without sequence","110.06","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|IT-North","Without sequence","103.0","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|IT-North","Without sequence","88.5","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|IT-North","Without sequence","96.85","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|IT-North","Without sequence","96.58","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|IT-North","Without sequence","93.8","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|IT-North","Without sequence","93.8","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|IT-North","Without sequence","85.93","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|IT-North","Without sequence","84.3","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|IT-North","Without sequence","85.0","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|IT-North","Without sequence","102.27","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|IT-North","Without sequence","100.55","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|IT-North","Without sequence","101.19","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|IT-North","Without sequence","96.0","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|IT-North","Without sequence","96.0","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|IT-North","Without sequence","95.65","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|IT-North","Without sequence","88.0","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|IT-North","Without sequence","84.34","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|IT-North","Without sequence","88.32","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|IT-North","Without sequence","97.95","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|IT-North","Without sequence","108.87","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|IT-North","Without sequence","109.49","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|IT-North","Without sequence","110.53","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|IT-North","Without sequence","110.0","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|IT-North","Without sequence","109.0","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|IT-North","Without sequence","102.47","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|IT-North","Without sequence","93.8","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|IT-North","Without sequence","87.6","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|IT-North","Without sequence","85.28","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|IT-North","Without sequence","85.28","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|IT-North","Without sequence","90.79","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|IT-North","Without sequence","93.8","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|IT-North","Without sequence","90.79","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|IT-North","Without sequence","107.46","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|IT-North","Without sequence","114.18","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|IT-North","Without sequence","125.5","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|IT-North","Without sequence","123.0","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|IT-North","Without sequence","115.38","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|IT-North","Without sequence","112.22","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|IT-North","Without sequence","108.55","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|IT-North","Without sequence","108.3","",""
