"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"26.09.2021 09:45 - 26.09.2021 10:00","12639","12999","11334","1446","1684","1696","2951","3828","3904"
"26.09.2021 10:00 - 26.09.2021 10:15","14049","14530","12747","1450","1703","1663","2667","3427","3509"
"26.09.2021 10:15 - 26.09.2021 10:30","15359","15980","14180","1444","1704","1661","2518","3165","3242"
"26.09.2021 10:30 - 26.09.2021 10:45","16550","17312","15572","1441","1704","1652","2410","2923","3036"
"26.09.2021 10:45 - 26.09.2021 11:00","17606","18470","16705","1433","1702","1669","2334","2748","2810"
"26.09.2021 11:00 - 26.09.2021 11:15","18514","19500","17651","1421","1701","1647","2295","2701","2736"
"26.09.2021 11:15 - 26.09.2021 11:30","19306","20292","18470","1409","1697","1615","2347","2820","2840"
"26.09.2021 11:30 - 26.09.2021 11:45","19946","20961","19181","1401","1687","1563","2396","2932","2957"
"26.09.2021 11:45 - 26.09.2021 12:00","20474","21498","19826","1393","1680","1549","2444","3017","3033"
"26.09.2021 12:00 - 26.09.2021 12:15","20869","21909","20060","1386","1670","1477","2494","3090","2944"
"26.09.2021 12:15 - 26.09.2021 12:30","21130","22166","20265","1380","1639","1402","2587","3179","2983"
"26.09.2021 12:30 - 26.09.2021 12:45","21222","22246","20243","1370","1606","1353","2663","3239","3004"
"26.09.2021 12:45 - 26.09.2021 13:00","21208","22190","20227","1358","1571","1347","2747","3304","3065"
"26.09.2021 13:00 - 26.09.2021 13:15","21057","21999","20084","1348","1539","1332","2825","3404","3158"
"26.09.2021 13:15 - 26.09.2021 13:30","20772","21610","19203","1336","1506","1318","2899","3486","3255"
"26.09.2021 13:30 - 26.09.2021 13:45","20406","21152","18730","1320","1472","1250","2970","3558","3368"
"26.09.2021 13:45 - 26.09.2021 14:00","19986","20625","18215","1304","1440","1238","3049","3635","3436"
"26.09.2021 14:00 - 26.09.2021 14:15","19449","20125","17489","1291","1406","1162","3124","3547","3539"
"26.09.2021 14:15 - 26.09.2021 14:30","18833","19411","16484","1282","1386","1133","3174","3592","3611"
"26.09.2021 14:30 - 26.09.2021 14:45","18137","18646","15937","1271","1360","1134","3208","3629","3788"
"26.09.2021 14:45 - 26.09.2021 15:00","17366","17809","15052","1260","1329","1135","3237","3657","3842"
"26.09.2021 15:00 - 26.09.2021 15:15","16488","16866","14265","1249","1248","1185","3244","3675","3888"
"26.09.2021 15:15 - 26.09.2021 15:30","15534","15825","13387","1237","1225","1163","3243","3663","3871"
"26.09.2021 15:30 - 26.09.2021 15:45","14458","14701","12275","1225","1200","1119","3236","3640","3841"
"26.09.2021 15:45 - 26.09.2021 16:00","13337","13514","11162","1213","1173","1137","3215","3612","3772"
"26.09.2021 16:00 - 26.09.2021 16:15","12099","12264","10058","1207","1150","1111","3165","3550","3695"
"26.09.2021 16:15 - 26.09.2021 16:30","10781","10966","8878","1186","1127","1088","3097","3454","3564"
"26.09.2021 16:30 - 26.09.2021 16:45","9423","9628","7776","1167","1108","1008","3025","3351","3345"
"26.09.2021 16:45 - 26.09.2021 17:00","8081","8271","6652","1146","1093","993","2962","3252","3183"
"26.09.2021 17:00 - 26.09.2021 17:15","6782","6927","5499","1133","1075","980","2907","3150","3053"
"26.09.2021 17:15 - 26.09.2021 17:30","5490","5584","4414","1135","1065","986","2952","3114","3001"
"26.09.2021 17:30 - 26.09.2021 17:45","4275","4340","3411","1141","1057","980","3011","3083","2982"
"26.09.2021 17:45 - 26.09.2021 18:00","3168","3202","2515","1142","1049","974","3104","3062","2976"
"26.09.2021 18:00 - 26.09.2021 18:15","2184","2206","1743","1145","1040","971","3195","3047","2972"
"26.09.2021 18:15 - 26.09.2021 18:30","1368","1375","1076","1154","1044","977","3460","3190","3134"
"26.09.2021 18:30 - 26.09.2021 18:45","775","758","580","1159","1050","992","3748","3341","3270"
"26.09.2021 18:45 - 26.09.2021 19:00","377","338","252","1168","1049","1006","4065","3524","3467"
"26.09.2021 19:00 - 26.09.2021 19:15","96","82","50","1184","1053","1022","4382","3690","3611"
"26.09.2021 19:15 - 26.09.2021 19:30","3","2","4","1210","1050","1023","4727","3864","3760"
"26.09.2021 19:30 - 26.09.2021 19:45","1","0","1","1237","1048","1003","5079","4050","3935"
"26.09.2021 19:45 - 26.09.2021 20:00","0","0","0","1264","1048","963","5432","4235","4151"
"26.09.2021 20:00 - 26.09.2021 20:15","0","0","0","1287","1053","979","5720","4379","4305"
"26.09.2021 20:15 - 26.09.2021 20:30","0","0","0","1286","1060","996","5937","4495","4388"
"26.09.2021 20:30 - 26.09.2021 20:45","0","0","0","1285","1067","992","6133","4611","4511"
"26.09.2021 20:45 - 26.09.2021 21:00","0","0","0","1291","1075","975","6307","4719","4646"
"26.09.2021 21:00 - 26.09.2021 21:15","0","0","0","1293","1087","976","6454","4821","4809"
"26.09.2021 21:15 - 26.09.2021 21:30","0","0","0","1288","1096","968","6581","4907","4945"
"26.09.2021 21:30 - 26.09.2021 21:45","0","0","0","1286","1105","992","6663","4975","5019"
"26.09.2021 21:45 - 26.09.2021 22:00","0","0","0","1273","1112","1009","6724","5029","5102"
"26.09.2021 22:00 - 26.09.2021 22:15","0","0","0","1283","1127","1050","6733","5047","5117"
"26.09.2021 22:15 - 26.09.2021 22:30","0","0","0","1264","1140","1084","6746","5091","5181"
"26.09.2021 22:30 - 26.09.2021 22:45","0","0","0","1248","1157","1087","6749","5123","5257"
"26.09.2021 22:45 - 26.09.2021 23:00","0","0","0","1236","1175","1100","6744","5154","5346"
"26.09.2021 23:00 - 26.09.2021 23:15","0","0","0","1220","1194","1158","6755","5181","5387"
"26.09.2021 23:15 - 26.09.2021 23:30","0","0","0","1222","1210","1185","6724","5147","5391"
"26.09.2021 23:30 - 26.09.2021 23:45","0","0","0","1217","1233","1191","6672","5107","5337"
"26.09.2021 23:45 - 27.09.2021 00:00","0","0","0","1219","1254","1207","6606","5068","5291"
"27.09.2021 00:00 - 27.09.2021 00:15","0","0","0","1250","1214","1214","5404","5502","5383"
"27.09.2021 00:15 - 27.09.2021 00:30","0","0","0","1251","1236","1236","5388","5436","5318"
"27.09.2021 00:30 - 27.09.2021 00:45","0","0","0","1250","1206","1206","5371","5406","5289"
"27.09.2021 00:45 - 27.09.2021 01:00","0","0","0","1258","1193","1193","5357","5388","5251"
"27.09.2021 01:00 - 27.09.2021 01:15","0","0","0","1203","1180","1180","5334","5334","5216"
"27.09.2021 01:15 - 27.09.2021 01:30","0","0","0","1215","1168","1168","5308","5237","5121"
"27.09.2021 01:30 - 27.09.2021 01:45","0","0","0","1222","1177","1177","5264","5226","5103"
"27.09.2021 01:45 - 27.09.2021 02:00","0","0","0","1227","1162","1162","5207","5346","5228"
"27.09.2021 02:00 - 27.09.2021 02:15","0","0","0","1246","1183","1183","5142","5389","5275"
"27.09.2021 02:15 - 27.09.2021 02:30","0","0","0","1269","1212","1212","5073","5369","5268"
"27.09.2021 02:30 - 27.09.2021 02:45","0","0","0","1297","1267","1267","5008","5379","5276"
"27.09.2021 02:45 - 27.09.2021 03:00","0","0","0","1322","1313","1313","4953","5369","5277"
"27.09.2021 03:00 - 27.09.2021 03:15","0","0","0","1350","1370","1370","4907","5295","5217"
"27.09.2021 03:15 - 27.09.2021 03:30","0","0","0","1386","1363","1363","4866","5418","5339"
"27.09.2021 03:30 - 27.09.2021 03:45","0","0","0","1422","1358","1358","4832","5284","5204"
"27.09.2021 03:45 - 27.09.2021 04:00","0","0","0","1459","1314","1314","4803","5185","5105"
"27.09.2021 04:00 - 27.09.2021 04:15","0","0","0","1506","1297","1297","4784","5046","4962"
"27.09.2021 04:15 - 27.09.2021 04:30","0","0","0","1566","1303","1303","4779","4997","4909"
"27.09.2021 04:30 - 27.09.2021 04:45","0","0","0","1632","1332","1332","4775","4813","4728"
"27.09.2021 04:45 - 27.09.2021 05:00","0","0","0","1696","1436","1436","4779","4787","4697"
"27.09.2021 05:00 - 27.09.2021 05:15","0","0","0","1753","1457","1457","4772","4720","4632"
"27.09.2021 05:15 - 27.09.2021 05:30","0","0","0","1784","1464","1464","4770","4679","4588"
"27.09.2021 05:30 - 27.09.2021 05:45","0","0","0","1815","1453","1453","4771","4657","4570"
"27.09.2021 05:45 - 27.09.2021 06:00","0","0","0","1838","1511","1511","4775","4619","4542"
"27.09.2021 06:00 - 27.09.2021 06:15","0","0","0","1862","1518","1518","4816","4670","4593"
"27.09.2021 06:15 - 27.09.2021 06:30","0","0","0","1921","1560","1560","4892","4676","4596"
"27.09.2021 06:30 - 27.09.2021 06:45","0","0","0","1987","1598","1598","4968","4724","4641"
"27.09.2021 06:45 - 27.09.2021 07:00","0","1","1","2051","1652","1652","5035","4689","4571"
"27.09.2021 07:00 - 27.09.2021 07:15","35","30","20","2117","1745","1745","5070","4701","4576"
"27.09.2021 07:15 - 27.09.2021 07:30","288","239","207","2194","1810","1810","5099","4719","4589"
"27.09.2021 07:30 - 27.09.2021 07:45","576","537","459","2269","1933","1933","5164","4760","4640"
"27.09.2021 07:45 - 27.09.2021 08:00","1076","1045","884","2353","2046","2046","5148","4750","4747"
"27.09.2021 08:00 - 27.09.2021 08:15","1782","1761","1460","2430","2155","2111","5091","4757","4817"
"27.09.2021 08:15 - 27.09.2021 08:30","2681","2668","2106","2492","2271","2177","4991","4631","4765"
"27.09.2021 08:30 - 27.09.2021 08:45","3713","3696","2913","2543","2379","2259","4874","4544","4732"
"27.09.2021 08:45 - 27.09.2021 09:00","4892","4839","3755","2607","2493","2389","4735","4479","4695"
"27.09.2021 09:00 - 27.09.2021 09:15","6111","6004","4601","2670","2605","2554","4601","4371","4568"
"27.09.2021 09:15 - 27.09.2021 09:30","7385","7206","5521","2727","2681","2609","4436","4234","4537"
"27.09.2021 09:30 - 27.09.2021 09:45","8651","8441","6419","2790","2759","2673","4273","4080","4401"
"27.09.2021 09:45 - 27.09.2021 10:00","9910","9637","7412","2845","2842","2794","4134","3932","4287"
"27.09.2021 10:00 - 27.09.2021 10:15","11123","10798","8288","2910","2921","2872","4059","3884","4204"
"27.09.2021 10:15 - 27.09.2021 10:30","12323","11888","9176","3003","3038","2888","4141","3967","4279"
"27.09.2021 10:30 - 27.09.2021 10:45","13399","12946","10115","3101","3153","3000","4259","4091","4385"
"27.09.2021 10:45 - 27.09.2021 11:00","14344","13896","10940","3194","3264","3159","4408","4268","4524"
"27.09.2021 11:00 - 27.09.2021 11:15","15147","14773","11640","3285","3370","3339","4587","4483","4729"
"27.09.2021 11:15 - 27.09.2021 11:30","15844","15517","12290","3379","3490","3345","4798","4758","5023"
"27.09.2021 11:30 - 27.09.2021 11:45","16419","16186","12822","3472","3613","3420","5007","5030","5330"
"27.09.2021 11:45 - 27.09.2021 12:00","16923","16731","13316","3564","3732","3597","5224","5303","5584"
"27.09.2021 12:00 - 27.09.2021 12:15","17288","17152","13684","3660","3850","3669","5415","5557","5860"
