"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"02.01.2023 08:30 - 02.01.2023 08:45","805","739","687","1618","1776","1641","25529","27979","29500"
"02.01.2023 08:45 - 02.01.2023 09:00","1487","1429","1353","1668","1840","1665","25608","27917","29631"
"02.01.2023 09:00 - 02.01.2023 09:15","2279","2146","2113","1723","1913","1829","25661","28005","29725"
"02.01.2023 09:15 - 02.01.2023 09:30","3125","2967","2961","1791","1978","1907","25591","27751","29417"
"02.01.2023 09:30 - 02.01.2023 09:45","4020","3801","3747","1861","2045","1944","25524","27501","29048"
"02.01.2023 09:45 - 02.01.2023 10:00","4928","4683","4595","1940","2115","2018","25449","27250","29429"
"02.01.2023 10:00 - 02.01.2023 10:15","5799","5572","5421","2034","2180","2051","25378","26996","29144"
"02.01.2023 10:15 - 02.01.2023 10:30","6631","6444","6292","2156","2315","2228","25230","26663","28884"
"02.01.2023 10:30 - 02.01.2023 10:45","7405","7284","6883","2288","2437","2329","25083","26337","28467"
"02.01.2023 10:45 - 02.01.2023 11:00","8051","8032","7472","2429","2570","2479","24957","26041","28074"
"02.01.2023 11:00 - 02.01.2023 11:15","8562","8688","8110","2583","2711","2650","24842","25745","28001"
"02.01.2023 11:15 - 02.01.2023 11:30","9003","9242","8545","2727","2911","2803","24723","25525","27575"
"02.01.2023 11:30 - 02.01.2023 11:45","9301","9644","8615","2874","3104","3064","24599","25308","27140"
"02.01.2023 11:45 - 02.01.2023 12:00","9428","9864","8614","3028","3301","3291","24461","25093","27070"
"02.01.2023 12:00 - 02.01.2023 12:15","9414","9975","8476","3188","3494","3654","24313","24887","26963"
"02.01.2023 12:15 - 02.01.2023 12:30","9245","9921","8178","3336","3746","3777","24129","24687","26770"
